Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","710","Afrique du Sud","6157","Part du PIB en devise locale","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","2.361236","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6186","Part du PIB en devise locale, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","2.233384","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6182","Croissance annuelle US $, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","21.074779","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","12.011336","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6187","Part du PIB US$, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","11.881544","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6157","Part du PIB en devise locale","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","12.011336","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6186","Part du PIB en devise locale, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","11.881544","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6182","Croissance annuelle US $, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","-0.185984","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2017","2017","%","2.66403","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6187","Part du PIB US$, aux prix de 2015","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2017","2017","%","2.635243","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6157","Part du PIB en devise locale","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2017","2017","%","2.66403","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6186","Part du PIB en devise locale, aux prix de 2015","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2017","2017","%","2.635243","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","3.802198","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","24.576503","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6187","Part du PIB US$, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","24.724268","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6157","Part du PIB en devise locale","22015","Formation brute de capital fixe","2017","2017","%","24.576503","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6186","Part du PIB en devise locale, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","24.724268","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6182","Croissance annuelle US $, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","6.034336","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","19.022127","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6187","Part du PIB US$, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","18.979099","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6157","Part du PIB en devise locale","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","19.022127","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6186","Part du PIB en devise locale, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","18.979099","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6182","Croissance annuelle US $, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.835138","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","6.158167","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6187","Part du PIB US$, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","6.215885","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6157","Part du PIB en devise locale","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","6.158167","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6186","Part du PIB en devise locale, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","6.215885","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6182","Croissance annuelle US $, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","12.431498","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6103","Part du PIB US $","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2017","2017","%","1.004014","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6187","Part du PIB US$, aux prix de 2015","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2017","2017","%","1.013424","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6157","Part du PIB en devise locale","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2017","2017","%","1.004014","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6186","Part du PIB en devise locale, aux prix de 2015","22076","Valeur ajoutée (Fabrication de produits alimentaires, boissons et de produits à base de tabac)","2017","2017","%","1.013424","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","1.3","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","40.781342","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6187","Part du PIB US$, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","43.258302","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6157","Part du PIB en devise locale","22015","Formation brute de capital fixe","2017","2017","%","40.781342","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6186","Part du PIB en devise locale, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","43.258302","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6182","Croissance annuelle US $, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","3.4","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","11.7559","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6187","Part du PIB US$, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","11.342714","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6157","Part du PIB en devise locale","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","11.7559","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6186","Part du PIB en devise locale, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","11.342714","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6182","Croissance annuelle US $, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.6","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6103","Part du PIB US $","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","4.319346","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6187","Part du PIB US$, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","4.572435","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6157","Part du PIB en devise locale","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","4.319346","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6186","Part du PIB en devise locale, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","4.572435","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6182","Croissance annuelle US $, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","4.394406","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","2.680231","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","20.599267","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6187","Part du PIB US$, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","20.513871","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6157","Part du PIB en devise locale","22015","Formation brute de capital fixe","2017","2017","%","20.599267","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6186","Part du PIB en devise locale, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","20.513871","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6182","Croissance annuelle US $, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","2.620172","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.824324","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6187","Part du PIB US$, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.617703","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6157","Part du PIB en devise locale","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.824324","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6186","Part du PIB en devise locale, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.617703","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6182","Croissance annuelle US $, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","-3.613232","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6103","Part du PIB US $","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","20.375188","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6187","Part du PIB US$, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","20.842202","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6157","Part du PIB en devise locale","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","20.375188","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6186","Part du PIB en devise locale, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","20.842202","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6182","Croissance annuelle US $, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","3.47416","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","0.346044","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","18.670984","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6187","Part du PIB US$, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","18.670984","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6157","Part du PIB en devise locale","22015","Formation brute de capital fixe","2017","2017","%","18.670984","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6186","Part du PIB en devise locale, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","18.670984","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6182","Croissance annuelle US $, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","4.317232","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.559539","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6187","Part du PIB US$, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.559539","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6157","Part du PIB en devise locale","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.559539","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6186","Part du PIB en devise locale, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.559539","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6182","Croissance annuelle US $, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","7.562424","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6103","Part du PIB US $","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","3.748835","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6187","Part du PIB US$, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","3.748835","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6157","Part du PIB en devise locale","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","3.748835","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6186","Part du PIB en devise locale, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","3.748835","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6182","Croissance annuelle US $, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","0.55292","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","-0.147436","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","23.242314","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6187","Part du PIB US$, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","21.169339","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6157","Part du PIB en devise locale","22015","Formation brute de capital fixe","2017","2017","%","23.242314","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6186","Part du PIB en devise locale, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","21.169339","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6182","Croissance annuelle US $, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","-20.904073","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","10.016996","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6187","Part du PIB US$, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","9.788288","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6157","Part du PIB en devise locale","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","10.016996","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6186","Part du PIB en devise locale, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","9.788288","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6182","Croissance annuelle US $, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","0.470185","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6103","Part du PIB US $","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","6.711985","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6187","Part du PIB US$, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","6.977253","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6157","Part du PIB en devise locale","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","6.711985","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6186","Part du PIB en devise locale, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","6.977253","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6182","Croissance annuelle US $, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","1.396839","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","-6.62136","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","21.84628","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6187","Part du PIB US$, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","21.650886","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6157","Part du PIB en devise locale","22015","Formation brute de capital fixe","2017","2017","%","21.84628","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6186","Part du PIB en devise locale, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","21.650886","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6182","Croissance annuelle US $, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","-2.756171","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","2.059696","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6187","Part du PIB US$, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","2.057168","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6157","Part du PIB en devise locale","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","2.059696","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6186","Part du PIB en devise locale, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","2.057168","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6182","Croissance annuelle US $, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","-30.605487","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6103","Part du PIB US $","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","1.826448","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6187","Part du PIB US$, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","2.004779","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6157","Part du PIB en devise locale","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","1.826448","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6186","Part du PIB en devise locale, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","2.004779","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6182","Croissance annuelle US $, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","-3.469545","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","3.144323","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","32.56721","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6187","Part du PIB US$, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","24.414627","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6157","Part du PIB en devise locale","22015","Formation brute de capital fixe","2017","2017","%","32.56721","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6186","Part du PIB en devise locale, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","24.414627","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6182","Croissance annuelle US $, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","3.603597","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","1.793851","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6187","Part du PIB US$, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","1.765841","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6157","Part du PIB en devise locale","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","1.793851","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6186","Part du PIB en devise locale, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","1.765841","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6182","Croissance annuelle US $, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","14.97373","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6103","Part du PIB US $","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","2.490703","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6187","Part du PIB US$, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","2.559216","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6157","Part du PIB en devise locale","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","2.490703","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6186","Part du PIB en devise locale, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","2.559216","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6182","Croissance annuelle US $, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","-2.449105","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","-0.741528","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","24.48427","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","6187","Part du PIB US$, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","25.606221","E","Valeur estimée",""
